title,original_language,release_year,release_month,runtime,genre,averageRating,budget,revenue,agg_profit,norm_revenue
The Unborn,en,2020,5,83,"Drama,Horror,Sci-Fi",4.8,16000000.0,78208812.0,62208812.0,26069604.0
The Intruder,en,2020,5,66,"Crime,Drama,Mystery",4.6,8000000.0,40597401.0,32597401.0,13532467.0
The Gift,en,2020,4,111,"Drama,Fantasy,Horror",6.7,10000000.0,44567606.0,34567606.0,14855868.666666666
Getaway,en,2020,4,90,"Action,Thriller",4.4,18000000.0,11813989.0,-6186011.0,3937996.3333333335
Abominable,en,2020,4,94,"Horror,Sci-Fi,Thriller",5.1,75000000.0,188668889.0,113668889.0,62889629.666666664
The Wretched,en,2020,3,92,Horror,5.2,66000.0,4594221.0,4528221.0,1531407.0
The Machine,en,2020,3,89,"Comedy,Drama,Romance",7.6,20000000.0,10656936.0,-9343064.0,3552312.0
Brahms: The Boy II,en,2020,2,86,"Drama,Horror,Mystery",4.7,10000000.0,18968326.0,8968326.0,6322775.333333333
Fantasy Island,en,2020,2,109,"Fantasy,Horror,Mystery",4.9,7000000.0,48518957.0,41518957.0,16172985.666666666
The Turning,en,2020,1,91,Drama,4.3,12000000.0,18460739.0,6460739.0,6153579.666666667
Speed,en,2020,1,70,"Action,Drama,Romance",5.7,30000000.0,283200000.0,253200000.0,94400000.0
Underwater,en,2020,1,95,"Action,Horror,Sci-Fi",5.9,65000000.0,39177495.0,-25822505.0,13059165.0
The Grudge,en,2020,1,100,"Adventure,Drama",6.5,10000000.0,187281115.0,177281115.0,62427038.333333336
Julia,fr,2020,1,83,Drama,4.7,6000000.0,1365108.0,-4634892.0,455036.0
Wolves,en,2020,1,91,"Action,Fantasy,Horror",5.3,18000000.0,94953.0,-17905047.0,31651.0
Awake,fr,2019,12,84,"Crime,Drama,Mystery",6.5,8600000.0,32968648.0,24368648.0,8242162.0
Tango,en,2019,12,66,Drama,5.3,4500000.0,5428387.0,928387.0,1357096.75
Black Christmas,en,2019,12,98,"Horror,Mystery,Thriller",7.1,9000000.0,16235738.0,7235738.0,4058934.5
