,id,title,original_language,overview,release_date,popularity,vote_count,vote_average,budget,revenue,runtime,status,genre_names,release_month,release_year,profit
63,438799,Overlord,en,"France, June 1944. On the eve of D-Day, some American paratroopers fall behind enemy lines after their aircraft crashes while on a mission to destroy a radio tower in a small village near the beaches of Normandy. After reaching their target, the surviving paratroopers realise that, in addition to fighting the Nazi troops that patrol the village, they also must fight against something else.",2018-11-01,34.624,2406,6.7,38000000,41657844,110,Released,"Horror, Science Fiction, War",11,2018,3657844
64,424139,Halloween,en,"Jamie Lee Curtis returns to her iconic role as Laurie Strode, who comes to her final confrontation with Michael Myers, the masked figure who has haunted her since she narrowly escaped his killing spree on Halloween night four decades ago.",2018-10-18,158.374,3974,6.5,10000000,253688035,106,Released,"Horror, Thriller",10,2018,243688035
65,442062,Goosebumps 2: Haunted Halloween,en,"Two boys face an onslaught from witches, monsters, ghouls and a talking dummy after they discover a mysterious book by author R. L. Stine.",2018-10-11,64.989,1234,6.1,35000000,93320380,90,Released,"Adventure, Comedy, Family, Fantasy, Horror",10,2018,58320380
66,439079,The Nun,en,"When a young nun at a cloistered abbey in Romania takes her own life, a priest with a haunted past and a novitiate on the threshold of her final vows are sent by the Vatican to investigate. Together they uncover the order’s unholy secret. Risking not only their lives but their faith and their very souls, they confront a malevolent force in the form of the same demonic nun that first terrorized audiences in “The Conjuring 2” as the abbey becomes a horrific battleground between the living and the damned.",2018-09-05,131.032,5393,5.8,22000000,365550119,96,Released,"Horror, Mystery, Thriller",9,2018,343550119
67,439015,Slender Man,en,"In a small town in Massachusetts, four high school girls perform a ritual in an attempt to debunk the lore of Slender Man. When one of the girls goes mysteriously missing, they begin to suspect that she is, in fact, his latest victim.",2018-08-10,30.529,1685,4.4,10000000,11817275,93,Released,"Horror, Mystery, Thriller",8,2018,1817275
68,345940,The Meg,en,"A deep sea submersible pilot revisits his past fears in the Mariana Trench, and accidentally unleashes the seventy foot ancestor of the Great White Shark believed to be extinct.",2018-08-09,116.512,6068,6.2,150000000,530243742,113,Released,"Action, Horror, Science Fiction",8,2018,380243742
69,505058,Unfriended: Dark Web,en,"​When a 20-something finds a cache of hidden files on his new laptop, he and his friends are unwittingly thrust into the depths of the dark web. They soon discover someone has been watching their every move and will go to unimaginable lengths to protect the dark web.",2018-07-19,24.191,1281,6.3,1000000,9602624,93,Released,"Horror, Mystery, Thriller",7,2018,8602624
70,442249,The First Purge,en,"To push the crime rate below one percent for the rest of the year, the New Founding Fathers of America test a sociological theory that vents aggression for one night in one isolated community. But when the violence of oppressors meets the rage of the others, the contagion will explode from the trial-city borders and spread across the nation.",2018-07-04,108.11,3413,6.0,13000000,137056262,97,Released,"Action, Horror, Thriller",7,2018,124056262
71,882052,Bad Ben: The Mandela Effect,en,"In 2016 the horror Tom Riley experienced in a home he bought at a Sheriff's Sale was captured on 21 Security Cameras in the home. What if he was experiencing this over and over again in parallel universes? Bad Ben - The Mandela Effect, gathers footage together that shows the Paranormal Experiences Tom had, seem to keep occurring.",2018-06-18,1.586,4,5.1,300,110000,67,Released,"Comedy, Horror",6,2018,109700
72,493922,Hereditary,en,"When Ellen, the matriarch of the Graham family, passes away, her daughter's family begins to unravel cryptic and increasingly terrifying secrets about their ancestry.",2018-06-07,84.709,6057,7.3,10000000,80239658,128,Released,"Horror, Mystery, Thriller",6,2018,70239658
73,520393,Taxiwala,te,"A job monger, Shiva who ends up as a taxiwala only to realise his ride is a beyond what anyone can expect.",2018-06-01,3.412,21,6.1,1000000,100000000,150,Released,"Comedy, Horror, Thriller",6,2018,99000000
74,473149,Traffik,en,"A couple off for a romantic weekend in the mountains are accosted by a biker gang. Alone in the mountains, Brea and John must defend themselves against the gang, who will stop at nothing to protect their secrets.",2018-04-20,23.723,393,6.2,4000000,5132274,96,Released,"Horror, Thriller",4,2018,1132274
75,460019,Truth or Dare,en,"A harmless game of ""Truth or Dare"" among friends turns deadly when someone—or something—begins to punish those who tell a lie—or refuse the dare.",2018-04-12,63.521,3562,6.0,3500000,95330493,101,Released,"Horror, Thriller",4,2018,91830493
76,447332,A Quiet Place,en,A family is forced to live in silence while hiding from creatures that hunt by sound.,2018-04-03,63.493,12032,7.4,17000000,340677200,91,Released,"Drama, Horror, Science Fiction",4,2018,323677200
77,371608,The Strangers: Prey at Night,en,"A family’s road trip takes a dangerous turn when they arrive at a secluded mobile home park to stay with some relatives and find it mysteriously deserted. Under the cover of darkness, three masked killers pay them a visit to test the family’s every limit as they struggle to survive.",2018-03-07,38.516,1127,5.6,12500000,31039126,85,Released,"Horror, Thriller",3,2018,18539126
78,461649,Pari,hi,"Arnab tries to help Ruksahana, who is found under mysterious circumstances in a house. He lets her stay at his home until he discovers something strange about her.",2018-03-02,3.136,34,6.7,2600000,6000000,135,Released,"Fantasy, Horror, Mystery",3,2018,3400000
79,300668,Annihilation,en,"A biologist signs up for a dangerous, secret expedition into a mysterious zone where the laws of nature don't apply.",2018-02-22,53.42,7378,6.4,40000000,43070915,115,Released,"Horror, Science Fiction",2,2018,3070915
80,467660,Unsane,en,A woman is involuntarily committed to a mental institution where she is confronted by her greatest fear.,2018-02-21,13.178,1312,6.3,1500000,14293601,98,Released,"Horror, Thriller",2,2018,12793601
81,444149,Hellraiser: Judgment,en,"Detectives Sean and David Carter are on the case to find a gruesome serial killer terrorizing the city. Joining forces with Detective Christine Egerton, they dig deeper into a spiraling maze of horror that may not be of this world.",2018-02-13,24.182,204,5.1,350000,426290,81,Released,Horror,2,2018,76290
82,416234,Winchester,en,"San Jose, California, 1906. Isolated in her labyrinthine mansion, eccentric firearm heiress Sarah Winchester believes that she is being haunted by the souls of those killed by the guns manufactured by her company.",2018-02-02,22.504,1543,5.9,3500000,44019588,100,Released,"Horror, Thriller",2,2018,40519588
83,406563,Insidious: The Last Key,en,"Parapsychologist Elise Rainier and her team travel to Five Keys, NM, to investigate a man’s claim of a haunting. Terror soon strikes when Rainier realizes that the house he lives in was her family’s old home.",2018-01-03,56.103,2313,6.2,10000000,167184112,103,Released,"Horror, Mystery, Thriller",1,2018,157184112
84,528328,Serial Rabbit V: The Epic Hunt,en,A serial killer in a bunny rabbit outfit wreaks havok on San Antonio and finds love in the process.,2017-12-28,0.6,1,8.0,12000,24000,113,Released,"Comedy, Horror",12,2017,12000
85,513434,One Cut of the Dead,ja,"""Things go badly for a hack director and film crew shooting a low-budget zombie movie in an abandoned Japanese World War II facility, when they are attacked by real zombies."" Or, that's what it says on the tin, but this is the story of how it really happened...",2017-11-04,11.247,544,7.7,30000,200000000,96,Released,"Comedy, Horror",11,2017,199970000
86,399366,Marrowbone,en,A young man and his three younger siblings are plagued by a sinister presence in the sprawling manor in which they live.,2017-10-27,17.468,1172,7.2,8000000,12294931,111,Released,"Drama, Horror, Mystery, Thriller",10,2017,4294931
87,298250,Jigsaw,en,"Dead bodies begin to turn up all over the city, each meeting their demise in a variety of grisly ways. All investigations begin to point the finger at deceased killer John Kramer.",2017-10-26,39.398,3044,6.2,10000000,102952888,92,Released,"Crime, Horror, Mystery, Thriller",10,2017,92952888
